ID	source	context	sentence	sup_idx_sent	sup_idx_context	title	sup_class	superlative	turn_idx (only for dialogue)	target	CS	Anchor	Property	Orientation	Implicit	Amount	Rank
05-028_Dry_Lab_14	wikipedia	As a means of surpassing the limitations of these techniques, projects such as http://en.wikipedia.org/wiki/Folding%40Home and http://en.wikipedia.org/wiki/Rosetta%40Home are aimed at resolving this problem using computational analysis, this means of resolving protein structure is referred to as protein structure prediction.  Although many labs have a slightly different approach, the main concept is to find from a myriad of protein conformations which conformation is of the lowest energy or, in the case of Folding@Home, to find relatively low energies of proteins that could cause the protein to misfold and aggregate other proteins to itself -- like in the case of sickle cell anemia.  The general scheme in these projects is that a small number of computations are parsed to, or sent to be calculated on, a computer, generally a home computer, and then that computer analyzes the likelihood that a specific protein will take on a certain shape or conformation based on the amount of energy that is required for that protein to stay in that shape, this way of processing data is what is generally referred to as distributed computing.  This analysis is done on an extraordinarily large number of different conformations, owing to the support of hundreds of thousands of home-based computers, in hopes to find the conformation of lowest possible energy or set of conformations of lowest possible energy.  Although being able to prove that a certain conformation is of the lowest possible energy is rather difficult, it is possible, by observing the energy distribution of a large number of conformations, despite the almost infinite number of different protein conformations possible for any given protein (see Levinthal Paradox), with a reasonably large number of protein energy samplings, to predict relatively closely what the expected lowest energy should be.	Although being able to prove that a certain conformation is of the lowest possible energy is rather difficult, it is possible, by observing the energy distribution of a large number of conformations, despite the almost infinite number of different protein conformations possible for any given protein (see Levinthal Paradox), with a reasonably large number of protein energy samplings, to predict relatively closely what the expected lowest energy should be.	434:440	1845:1851	Dry Lab	DEF	lowest		lowest energy OF=protein conformations	energy OF=protein conformations	energy	amount	negative	n		
05-033_Energy_in_Norway_3	wikipedia	  Since the discovery of North Sea oil in Norwegian waters during the late 1960s, exports of oil and gas have become very important elements of the Economy of Norway.  With North Sea oil production having peaked, disagreements over exploration for oil in the Barents Sea, the prospect of exploration in the Arctic, as well as growing international concern over global warming, energy in Norway is currently receiving close attention.  Norway is the third largest oil exporter on Earth (8th largest producer), producing around 3 million barrels of oil/day, and the world's sixth largest producer of natural gas, having significant gas reserves in the North Sea.	Norway is the third largest oil exporter on Earth (8th largest producer), producing around 3 million barrels of oil/day, and the world's sixth largest producer of natural gas, having significant gas reserves in the North Sea.	137:150	572:585	Energy in Norway	ISA-1	sixth largest		Norway	producers OF=natural gas	producers	size	positive	n		sixth
05-033_Energy_in_Norway_4	wikipedia	 Since the discovery of North Sea oil in Norwegian waters during the late 1960s, exports of oil and gas have become very important elements of the Economy of Norway.  With North Sea oil production having peaked, disagreements over exploration for oil in the Barents Sea, the prospect of exploration in the Arctic, as well as growing international concern over global warming, energy in Norway is currently receiving close attention.  Norway is the third largest oil exporter on Earth (8th largest producer), producing around 3 million barrels of oil/day, and the world's sixth largest producer of natural gas, having significant gas reserves in the North Sea.  Norway possesses also some of the world's largest potentially exploitable coal reserves (located under the Norwegian continental shelf) on earth.	Norway possesses also some of the world's largest potentially exploitable coal reserves (located under the Norwegian continental shelf) on earth.	42:49	703:710	Energy in Norway	DEF	largest		the world's largest potentially exploitable coal reserves	potentially exploitable coal reserves	potentially exploitable coal reserves	size	positive	n		
05-034_Environmentally_friendly_19	wikipedia	Energy Star has different sections for different nations or areas, including the United States, the European Union and Australia.  Integrated pest management is regarded as a more environmentally friendly form of pest control than traditional pesticides, as its goal is to reduce pesticide use to a minimum by using a variety of less impactive means, with pesticides only as the last resort.  Biological pest control is another form of control considered by many experts to be environmentally friendly.  Recycling and composting are viewed as more environmentally friendly forms of waste management than traditional burying or burning practices.  The Edmonton Composting Facility in Edmonton, Alberta, Canada, in the largest composting facility in the world; representing 35% of Canada's centralized composting capacity.	The Edmonton Composting Facility in Edmonton, Alberta, Canada, in the largest composting facility in the world; representing 35% of Canada's centralized composting capacity.	70:77	717:724	Environmentally friendly	ISA-1	largest		The Edmonton Composting Facility	composting facilities LOCATION=the world	composting facilities	size	positive	n		
05-035_Epimedium_30	wikipedia	Some of the more robust varieties are often recommended as plants for dry shade, and whilst their tough foliage and stout rhizomes can allow them to grow successfully in such conditions, (and in more open, exposed positions too, in some instances) they will certainly not give their best .  Furthermore, dryness and exposure will pretty much guarantee the early death of many of the newer and more delicate species.  Given suitable conditions most Epimedium will form beautiful ground cover plants, often with magnificent new leaves tinted in bronze, copper and reds combining with a huge variety of flower colours and forms in spring.  Handsome and dense-growing foliage remains present for much of the year, with the leaves often turning purple, crimson and scarlet in autumn in some forms, and remaining evergreen in others.  With all varieties, however, the foliage is best cut off at ground level shortly before new leaves emerge, so as to fully reveal their beauty of form and colour.	With all varieties, however, the foliage is best cut off at ground level shortly before new leaves emerge, so as to fully reveal their beauty of form and colour.	44:48	873:877	Epimedium	ADV	best		CUT_OFF(e, THEME= foliage OF=Epimedium, MANNER= ground level & shortly before new leaves emerge)	CUT_OFF(e, THEME= foliage OF=Epimedium, MANNER=*)	#0=e	quality	positive	y		
05-035_Epimedium_38	wikipedia	In other species, however, (such as E. perraldianum) the petals are reduced to tiny spurs, and it is the greatly enlarged and highly coloured sepals that have expanded to catch the attention of the wandering insect.  Some varieties and hybrids have been in Western cultivation for the last 100/150 years, but there are now a stunning array of new Chinese species (many newly discovered and a number which have yet to be named) and Japanese hybrids and forms arriving in the west to extend the boundaries of the genus in cultivation.  The majority of the Chinese species have not been fully tested for hardiness or indeed for any other aspect of their culture.  The initial assumptions that the plants would only thrive where their native conditions could be closely replicated have proven to be overly cautious, and most are proving extraordinarily amenable to general garden and container cultivation.  Whilst they can be successfully propagated in early spring, Epimedium are best divided in late August, with the aim of promoting rapid re-growth of roots and shoots before the onset of winter.	Whilst they can be successfully propagated in early spring, Epimedium are best divided in late August, with the aim of promoting rapid re-growth of roots and shoots before the onset of winter.	74:78	978:982	Epimedium	ADV	best		DIVIDE(e, THEME=Epidemium, TIME=late August)	DIVIDE(e, THEME=Epidemium, TIME=*)	#2=TIME	quality	positive	n		
05-035_Epimedium_39	wikipedia	Some varieties and hybrids have been in Western cultivation for the last 100/150 years, but there are now a stunning array of new Chinese species (many newly discovered and a number which have yet to be named) and Japanese hybrids and forms arriving in the west to extend the boundaries of the genus in cultivation.  The majority of the Chinese species have not been fully tested for hardiness or indeed for any other aspect of their culture.  The initial assumptions that the plants would only thrive where their native conditions could be closely replicated have proven to be overly cautious, and most are proving extraordinarily amenable to general garden and container cultivation.  Whilst they can be successfully propagated in early spring, Epimedium are best divided in late August, with the aim of promoting rapid re-growth of roots and shoots before the onset of winter.  Several breeders (in particular Darrell Probst, Tim Branney & Robin White) have also undertaken their own hybridization programmes with the genus Epimedium, and various new nursery selections are gradually appearing in the nursery trade, the best of which are extending the colour and shape range of the flowers available to the gardener.	Several breeders (in particular Darrell Probst, Tim Branney & Robin White) have also undertaken their own hybridization programmes with the genus Epimedium, and various new nursery selections are gradually appearing in the nursery trade, the best of which are extending the colour and shape range of the flowers available to the gardener.	242:246	1123:1127	Epimedium	DEF	best		hybridization programmes	hybridization porgrammes	hybridization programmes	quality	positive	n		
05-036_Evidence_based_practice_4	wikipedia	 Evidence based practice (EBP) is an approach which tries to specify the way in which professionals or other decision-makers should make decisions.  It uses various methods (e.g.  carefully summarizing research, putting out accessible research summaries, educating professionals in how to understand and apply research findings) to encourage, and in some instances to force, professionals and other decision-makers to pay more attention to evidence that can inform their decision-making.  In the health care area it encourages professionals to use the best evidence possible, i.e. the most appropriate information available, to make clinical decisions for individual patients.	In the health care area it encourages professionals to use the best evidence possible, i.e. the most appropriate information available, to make clinical decisions for individual patients.	96:100	585:589	Evidence based practice	DEF	most		the most appropriate information	information	information	appropriateness	positive	n		
05-036_Evidence_based_practice_7	wikipedia	carefully summarizing research, putting out accessible research summaries, educating professionals in how to understand and apply research findings) to encourage, and in some instances to force, professionals and other decision-makers to pay more attention to evidence that can inform their decision-making.  In the health care area it encourages professionals to use the best evidence possible, i.e. the most appropriate information available, to make clinical decisions for individual patients.    EBP promotes the collection, interpretation, and integration of valid, important and applicable patient-reported, clinician-observed, and research-derived evidence.  The best available evidence, moderated by patient circumstances and preferences, is applied to improve the quality of clinical judgments and facilitate cost-effective care.	The best available evidence, moderated by patient circumstances and preferences, is applied to improve the quality of clinical judgments and facilitate cost-effective care.	4:8	670:674	Evidence based practice	DEF	best		the best available evidence	available evidence	available evidence	quality	positive	n		
05-036_Evidence_based_practice_11	wikipedia	The best available evidence, moderated by patient circumstances and preferences, is applied to improve the quality of clinical judgments and facilitate cost-effective care.   EBP involves complex and conscientious decision-making which is based not only on the available evidence but also on patient characteristics, situations, and preferences.  It recognizes that care is individualized and ever changing and involves uncertainties and probabilities.  Ultimately EBP is the formalization of the care process that the best clinicians have practiced for generations – from the country “Doc” who knew his patients to the practitioner who knew his patients over decades.	Ultimately EBP is the formalization of the care process that the best clinicians have practiced for generations – from the country “Doc” who knew his patients to the practitioner who knew his patients over decades.	65:69	519:523	Evidence based practice	DEF	best		the best clinicians	clinicians	clinicians	quality	positive	n		
05-036_Evidence_based_practice_16	wikipedia	"Evidence-based practice (EBP) develops individualized guidelines of best practices to inform the improvement of whatever professional task is at hand.  Evidence-based practice is a philosophical approach that is in opposition to rules of thumb, folklore, and tradition.  Examples of a reliance on ""the way it was always done"" can be found in almost every profession, even when those practices are contradicted by new and better information.  Evidence-based design and development decisions are made after reviewing information from repeated rigorous data gathering instead of relying on rules, single observations, or custom.  Evidence-based medicine and evidence-based nursing practice are the two largest fields employing this approach."	Evidence-based medicine and evidence-based nursing practice are the two largest fields employing this approach.	72:79	699:706	Evidence based practice	ISA-1	largest		Evidence-based medicine & evidence-based nursing practice	fields	fields	size	positive	n		
05-036_Evidence_based_practice_23	wikipedia	This model of care has been studied for 30 years in universities and is gradually making its way into the public sector.  It effectively moves away from the old “medical model” (You have a disease, take this pill.)  to a “evidence presented model” using the patient as the starting point in diagnosis.  EBPs are being employed in the fields of health care, juvenile justice, mental health and social services among others.  Key elements in using the best evidence to guide the practice of any professional include the development of questions using research-based evidence, the level and types of evidence to be used, and the assessment of effectiveness after completing the task or effort.	Key elements in using the best evidence to guide the practice of any professional include the development of questions using research-based evidence, the level and types of evidence to be used, and the assessment of effectiveness after completing the task or effort.	26:30	450:454	Evidence based practice	DEF	best		the best evidence	evidence	evidence	quality	positive	n		
05-042_Health_science_22	wikipedia	This can include a specific governmental organization such as the National Health Service in the UK, or a cooperation across the National Health Service and Social Services as in Shared Care.  There are a large number of health professions.  The terms medicine or biomedicine, and medical doctor or M.D. refer to the dominant conventional practices in the West.  There are a wide range of traditional areas of health care.  The most common areas are: medicine, nursing, midwifery, and various forms of therapy to supplement the healing process and restore proper activity (e.g. Dietetics, recreational, physical, occupational, speech, and respiratory).	The most common areas are: medicine, nursing, midwifery, and various forms of therapy to supplement the healing process and restore proper activity (e.g. Dietetics, recreational, physical, occupational, speech, and respiratory).	4:15	428:439	Health science	ISA-1	most common		medicine & nursing & midwifery & various forms of therapy TO=supplement the healing process & restore proper activity	areas OF=health care	areas	commonness	positive	n		
05-043_Hearing_impairment_7	wikipedia	Sound waves vary in amplitude and in frequency.  Amplitude is the sound wave's peak pressure variation.  Frequency is the number of cycles per second of a sinusoidal component of a sound wave.  Loss of the ability to detect some frequencies, or to detect low-amplitude sounds, that an organism naturally detects, is a hearing impairment.  Hearing sensitivity is indicated by the quietest sound that an individual can detect, called the hearing threshold.	Hearing sensitivity is indicated by the quietest sound that an individual can detect, called the hearing threshold.	40:48	379:387	Hearing impairment	ISA-2	quietest		the hearing threshold	sound THAT=an individual can detect	sound	volume	negative	n		
05-043_Hearing_impairment_15	wikipedia	There are also electro-physiological tests that can be performed without requiring a behavioral response.  Normal hearing thresholds are not the same for all frequencies in any species of animal.  If different frequencies of sound are played at the same amplitude, some will be loud, and others quiet or even completely inaudible.  Generally, if the gain or amplitude is increased, a sound is more likely to be perceived.  Ordinarily, when animals use sound to communicate, hearing in that type of animal is most sensitive for the frequencies produced by calls, or, in the case of humans, speech.	Ordinarily, when animals use sound to communicate, hearing in that type of animal is most sensitive for the frequencies produced by calls, or, in the case of humans, speech.	85:99	508:522	Hearing impairment	FREE	most sensitive		BE_SENSITIVE(e, EXPERIENCER=hearing in that type of animal | humans, STIMULUS=calls | speech)	"BE_SENSITIVE(e, EXPERIENCER=""hearing in that type of animal"", STIMULUS=*)"	#2=STIMULUS	extent	positive	n		
05-043_Hearing_impairment_20	wikipedia	This tuning of hearing exists at many levels of the auditory system, all the way from the physical characteristics of the ear to the nerves and tracts that convey the nerve impulses of the auditory portion of the brain.  A hearing impairment exists when an individual is not sensitive to the sounds normally heard by its kind.  In human beings, the term hearing impairment is usually reserved for people who have relative insensitivity to sound in the speech frequencies.  The severity of a hearing impairment is categorized according to how much louder a sound must be made over the usual levels before the listener can detect it.  In profound deafness, even the loudest sounds that can be produced by the instrument used to measure hearing (audiometer) may not be detected.	In profound deafness, even the loudest sounds that can be produced by the instrument used to measure hearing (audiometer) may not be detected.	31:38	664:671	Hearing impairment	DEF	loudest		the loudest sounds WHICH=can be produced by the instrument	sounds	sounds	volume	positive	n		
05-043_Hearing_impairment_36	wikipedia	A sensorineural hearing loss is due to insensitivity of the inner ear (the cochlea), or to impairment of function in the auditory nervous system.  It can be mild, moderate, or severe, including total deafness.  The great majority of human sensorineural hearing loss is caused by abnormalities in the hair cells of the organ of Corti in the cochlea.  There are also very unusual sensorineural hearing impairments that involve the VIIIth cranial nerve (the Vestibulocochlear nerve) or the auditory portions of the brain.  In the rarest of these sorts of hearing loss, only the auditory centers of the brain are affected.	In the rarest of these sorts of hearing loss, only the auditory centers of the brain are affected.	7:13	527:533	Hearing impairment	DEF	rarest		the rarest OF=these sorts of hearing loss	sorts OF=hearing loss	sorts	commonness	negative	y		
05-043_Hearing_impairment_65	wikipedia	If a family has a dominant gene for deafness it will persist across generations because it will manifest itself in the offspring even if it is inherited from only one parent.  If a family had genetic hearing impairment caused by a recessive gene it will not always be apparent as it will have to be passed onto offspring from both parents.  Dominant and recessive hearing impairment can be syndromic or nonsyndromic.  Recent gene mapping has identified dozens of nonsyndromic dominant (DFNA#) and recessive (DFNB#) forms of deafness.  The most common type of congenital hearing impairment in developed countries is DFNB1, also known as Connexin 26 deafness or GJB2-related deafness.	The most common type of congenital hearing impairment in developed countries is DFNB1, also known as Connexin 26 deafness or GJB2-related deafness.	4:15	539:550	Hearing impairment	ISA-1	most common		DFNB1	congenital hearing impairments LOCATION=developed countries	congenital hearing impairments	commonness	positive	n		
05-043_Hearing_impairment_66	wikipedia	If a family had genetic hearing impairment caused by a recessive gene it will not always be apparent as it will have to be passed onto offspring from both parents.  Dominant and recessive hearing impairment can be syndromic or nonsyndromic.  Recent gene mapping has identified dozens of nonsyndromic dominant (DFNA#) and recessive (DFNB#) forms of deafness.  The most common type of congenital hearing impairment in developed countries is DFNB1, also known as Connexin 26 deafness or GJB2-related deafness. *  The most common dominant syndromic forms of hearing impairment include Stickler syndrome and Waardenburg syndrome.	The most common dominant syndromic forms of hearing impairment include Stickler syndrome and Waardenburg syndrome.	4:15	514:525	Hearing impairment	DEF	most common		Stickler syndrome & Waardenburg syndrome	dominant sydromic forms OF=hearing impairment	dominant sydromic forms	commonness	positive	n		
05-043_Hearing_impairment_67	wikipedia	Dominant and recessive hearing impairment can be syndromic or nonsyndromic.  Recent gene mapping has identified dozens of nonsyndromic dominant (DFNA#) and recessive (DFNB#) forms of deafness.  The most common type of congenital hearing impairment in developed countries is DFNB1, also known as Connexin 26 deafness or GJB2-related deafness. *  The most common dominant syndromic forms of hearing impairment include Stickler syndrome and Waardenburg syndrome. *  The most common recessive syndromic forms of hearing impairment are Pendred syndrome, Large vestibular aqueduct syndrome and Usher syndrome.	The most common recessive syndromic forms of hearing impairment are Pendred syndrome, Large vestibular aqueduct syndrome and Usher syndrome.	4:15	467:478	Hearing impairment	ISA-1	most common		Pendred syndrome & Large vestibular aqueduct syndrome & Usher syndrome	recessive syndromic forms OF=hearing impairment	recessive syndromic forms	commonness	positive	n		
05-043_Hearing_impairment_83	wikipedia	Premature birth results in sensorineural hearing loss approximately 5% of the time. *  Syphilis is commonly transmitted from pregnant women to their fetuses, and about a third of the infected children will eventually become deaf. *  Otosclerosis is a hardening of the stapes (or stirrup) in the middle ear and causes conductive hearing loss.  Some medications cause irreversible damage to the ear, and are limited in their use for this reason.  The most important group is the aminoglycosides (main member gentamicin).	The most important group is the aminoglycosides (main member gentamicin).	4:18	449:463	Hearing impairment	ISA-1	most important		aminoglycosides	groups OF=medications	groups	importance	positive	y		
05-043_Hearing_impairment_104	wikipedia	It is quite common for someone to have more than one degree of hearing loss (i.e.  mild sloping to severe).  The following list shows the rankings and their corresponding decibel ranges:  Mild: ** for adults: between 25 and 40 dB ** for children: between 15 and 40 dB * Moderate: between 41 and 55 dB * Moderately severe: between 56 and 70 dB * Severe: between 71 and 90 dB * Profound: 90 dB or greater  The quietest sound you can hear at different frequencies is plotted on an audiogram to reflect your ability to hear at different frequencies.	The quietest sound you can hear at different frequencies is plotted on an audiogram to reflect your ability to hear at different frequencies.	4:12	408:416	Hearing impairment	DEF	quietest		"HEAR(e, EXPERIENCER=you, STIMULUS=""the quietest sound"")"	HEAR(e, EXPERIENCER=you, STIMULUS=sounds, AT=different frequencies)	#2=STIMULUS	volume	negative	n		
05-043_Hearing_impairment_105	wikipedia	mild sloping to severe).  The following list shows the rankings and their corresponding decibel ranges:  Mild: ** for adults: between 25 and 40 dB ** for children: between 15 and 40 dB * Moderate: between 41 and 55 dB * Moderately severe: between 56 and 70 dB * Severe: between 71 and 90 dB * Profound: 90 dB or greater  The quietest sound you can hear at different frequencies is plotted on an audiogram to reflect your ability to hear at different frequencies.  The range of normal human hearing (from the softest audible sound to the loudest comfortable sound) is so great that the audiogram must be plotted using a logarithmic scale.	The range of normal human hearing (from the softest audible sound to the loudest comfortable sound) is so great that the audiogram must be plotted using a logarithmic scale.	73:80	537:544	Hearing impairment	DEF	loudest		the loudest comfortable sound	comfortable sounds	comfortable sounds	volume	positive	n		
05-045_Hemiboreal_2	wikipedia	   Hemiboreal means halfway between the temperate and subarctic (or boreal) zones.  The term is most frequently used in the context of ecosystems.	The term is most frequently used in the context of ecosystems.	12:27	96:111	Hemiboreal	ADV	most frequently		USE(e, AGENT=*, THEME=acoustic contrast factor, EVENTUALITY=context of ecosystems)	USE(e, AGENT=*, THEME=acoustic contrast factor, EVENTUALITY=contexts)	#3=EVENTUALITY	frequency	positive	n		
05-047_Human_figure_(aesthetics)_5	wikipedia	In aesthetics, human figure or human form is collection of all attributes of the human 's body.  It is not just confined to body shape.  It also includes body postures while a human sits or stands or even sleeps.  Movements of walking, running, dancing etc. come under human figure.  Human figure is considered as one of the most beautiful, prominent and sophisticated creation among both nature made and man made formations.	Human figure is considered as one of the most beautiful, prominent and sophisticated creation among both nature made and man made formations.	41:84	325:368	Human figure (aesthetics)	ISA-2	most beautiful, prominent and sophisticated		Human figure	creations	creations	beauty	positive	n		
05-048_Indicator_species_3	wikipedia	  An indicator species is any biological species that defines a trait or characteristic of the environment.  For example, a species may delineate an ecoregion or indicate an environmental condition such as a disease outbreak, pollution, species competition or climate change.  Indicator species can be among the most sensitive species in a region, acting as an early warning to monitoring biologists.	Indicator species can be among the most sensitive species in a region, acting as an early warning to monitoring biologists.	35:49	312:326	Indicator species	ISA-2	most sensitive		Indicator species	species LOCATION=a region	species	sensitivity	positive	n		
05-049_Inquiry-based_science_52	wikipedia	Inquiry-based science teaching requires students to surface their prior knowledge and assumptions and examine them in the light of natural phenomena.  This facilitates either means of acquiring new knowledge.  Hmelo-Silver, Duncan, & Chinn cite several studies supporting the success of the constructivist problem-based and inquiry learning methods.  For example, they describe a project called GenScope, an inquiry-based science software application.  Students using the GenScope software showed significant gains over the control groups, with the largest gains shown in students from basic courses.	Students using the GenScope software showed significant gains over the control groups, with the largest gains shown in students from basic courses.	96:103	549:556	Inquiry-based science	DEF	largest		the largest gains	gains IN=knowledge	gains	size	positive	y		
05-049_Inquiry-based_science_81	wikipedia	The teacher does not provide information or facts, but rather helps students decide what they want to do.  The teacher is a guide or leader, rather than someone who informs the students directly. *  Inquiry lessons are active.  Typically they are experimental in basis, with students deciding what methods to use to discover something, or they involve project-based learning and research using the Internet. *  The most important thing in the classroom is the development of ideas instead of the gaining of knowledge.	The most important thing in the classroom is the development of ideas instead of the gaining of knowledge.	4:18	415:429	Inquiry-based science	ISA-1	most important		development OF=ideas	things LOCATION=classroom	things	importance	positive	n		
05-049_Inquiry-based_science_99	wikipedia	Because the path taken to a desired learning target is uncertain, open lessons are more interesting and less predictable then traditional lessons.  Open learning has been developed by a number of science educators including the American John Dewey and the German Martin Wagenschein.  Wagenschein's ideas particularly complement both open learning and inquiry teaching.  He emphasized that students should not be taught bald facts, but should be made to understand and explain what they are learning.  His most famous example of this was when he asked physics students to tell him what the speed of a falling object was.	His most famous example of this was when he asked physics students to tell him what the speed of a falling object was.	4:15	505:516	Inquiry-based science	ISA-1	most famous		ASK(e, AGENT=Martin Wagenschien, RECIPIENT=physics students TOPIC=tell him what the speed of a falling object was)	examples	#0=event	fame	positive	n		
05-050_Interpolation_theory_9	wikipedia	Bower (1889) further developed this theory and renamed it the Interpolation Theory.  The theory was later supported by Overton (1893), Scott (1896), Strasburger (1897), Williams (1904), and others.  The gradual evolution of an independent, sporophyte phase was viewed by Bower as being closely related to the transition from aquatic to terrestrial plant life on Earth.  The supporters of the Interpolation Theory believe that the progenators of land plants were algal -like, and evolved for terrestrial life under water stresses.  The oldest known fossils of land plants were discovered in the cores of boreholes in Oman.	The oldest known fossils of land plants were discovered in the cores of boreholes in Oman.	4:10	535:541	Interpolation theory	DEF	oldest		the oldest known fossils OF=land plants	known fossils OF=land plants	known fossils OF=land plants	age	positive	n		
05-051_Living_systems_theory_70	wikipedia	The emphasis on cross-level analysis and the production of numerous cross-level hypotheses. *  Cross-subsystem research (e.g.,  formulation and testing of hypotheses in two or more subsystems at a time). *  Cross-level, cross-subsystem research.  Bailey says that LST, perhaps the “most integrative” social systems theory, has made many more contributions that may be easily overlooked, such as: providing a detailed analysis of types of systems; making a distinction between concrete and abstracted systems; discussion of physical space and time; placing emphasis on information processing; providing an analysis of entropy; recognition of totipotential systems, and partipotential systems; providing an innovative approach to the structure-process issue; and introducing the concept of joint subsystem—a subsystem that belongs to two systems simultaneously; of dispersal—lateral, outward, upward, and downward; of inclusion—inclusion of something from the environment that is not part of the system; of artifact—an animal-made or human-made inclusion; of adjustment process, which combats stress in a system; and of critical subsystems, which carry out processes that all living systems need to survive.	Bailey says that LST, perhaps the “most integrative” social systems theory, has made many more contributions that may be easily overlooked, such as: providing a detailed analysis of types of systems; making a distinction between concrete and abstracted systems; discussion of physical space and time; placing emphasis on information processing; providing an analysis of entropy; recognition of totipotential systems, and partipotential systems; providing an innovative approach to the structure-process issue; and introducing the concept of joint subsystem—a subsystem that belongs to two systems simultaneously; of dispersal—lateral, outward, upward, and downward; of inclusion—inclusion of something from the environment that is not part of the system; of artifact—an animal-made or human-made inclusion; of adjustment process, which combats stress in a system; and of critical subsystems, which carry out processes that all living systems need to survive.	35:51	282:298	Living systems theory	ISA-1	most integrative		LST	social systems theories	social systems theories	integrativeness	positive	n		
05-052_March_2007_floods_in_the_Argentine_littoral_7	wikipedia	"The area hit by the main storm was the central and southern Argentine littoral, comprising the south-center of Santa Fe Province (west of the Paraná River) and the south of Entre Ríos Province (east of the Paraná River).  The latter is part of the southern Mesopotamia (lit. "" Increased rainfall also hit locations in the northeast of Buenos Aires Province, along the course of the Paraná, before it empties into the Río de la Plata (beside which Buenos Aires is located).  Associated storms hit the southeast of Córdoba Province, immediately west of Santa Fe.  The largest metropolitan areas in the affected area were Santa Fe (pop. 1.2 million)."	The largest metropolitan areas in the affected area were Santa Fe (pop. 1.2 million).	4:11	566:573	March 2007 floods in the Argentine littoral	ISA-1	largest		Santa Fe & Rosario	metropolitan areas LOCATION=the affected area	metropolitan areas	size	positive	n		
05-052_March_2007_floods_in_the_Argentine_littoral_13	wikipedia	  Tens of other cities and towns were also affected, including Rafaela (pop. 84,000)  in central Santa Fe and Gualeguay (pop. 39,000)  in southern Entre Ríos.  The southern Argentine littoral is the heart of the Humid Pampa and the most productive farming region in the country, producing a large portion of the beef, cereals and dairy commodities consumed or exported.	The southern Argentine littoral is the heart of the Humid Pampa and the most productive farming region in the country, producing a large portion of the beef, cereals and dairy commodities consumed or exported.	72:87	232:247	March 2007 floods in the Argentine littoral	ISA-1	most productive		The southern Argentine littoral	farming regions LOCATION=Argentina	farming regions	productivity	positive	n		
05-052_March_2007_floods_in_the_Argentine_littoral_15	wikipedia	in central Santa Fe and Gualeguay (pop. 39,000)  in southern Entre Ríos.  The southern Argentine littoral is the heart of the Humid Pampa and the most productive farming region in the country, producing a large portion of the beef, cereals and dairy commodities consumed or exported.  Only in Santa Fe Province, the storms ruined 30,000 km² of crops and rendered important regions of pasture land unusable.  The main river in the affected area is the Paraná River, which is the second longest in South America after the Amazon.	The main river in the affected area is the Paraná River, which is the second longest in South America after the Amazon.	70:84	478:492	March 2007 floods in the Argentine littoral	ISA-1	second longest		Paraná River	rivers LOCATION=the affected area	rivers	length	positive	n		second
05-052_March_2007_floods_in_the_Argentine_littoral_17	wikipedia	The southern Argentine littoral is the heart of the Humid Pampa and the most productive farming region in the country, producing a large portion of the beef, cereals and dairy commodities consumed or exported.  Only in Santa Fe Province, the storms ruined 30,000 km² of crops and rendered important regions of pasture land unusable.  The main river in the affected area is the Paraná River, which is the second longest in South America after the Amazon.  It forms the natural limit between the provinces of Santa Fe and Entre Ríos, and empties into the Río de la Plata.  The Paraná–Plata system thus passes by Argentina's most densely populated area.	The Paraná–Plata system thus passes by Argentina's most densely populated area.	51:73	622:644	March 2007 floods in the Argentine littoral	ADV	most densely populated		provinces OF=Santa Fe & Entre Ríos	areas LOCATION=Argentina	areas	density of population	positive	y		
05-053_Medicine_19	wikipedia	Possibly the major shift in medical thinking was the gradual rejection, especially during the Black Death in the 14th and 15th centuries, of what may be called the 'traditional authority' approach to science and medicine.  This was the notion that because some prominent person in the past said something must be so, then that was the way it was, and anything one observed to the contrary was an anomaly (which was paralleled by a similar shift in European society in general - see Copernicus 's rejection of Ptolemy 's theories on astronomy).  Physicians like Ibn al-Nafis and Vesalius led the way in improving upon or indeed rejecting the theories of great authorities from the past (such as Hippocrates, Galen and Avicenna), many of whose theories were in time discredited.  Such new attitudes were made possible in Europe by the weakening of the Roman Catholic church's power in society, especially in the Republic of Venice.  Evidence-based medicine is a recent movement to establish the most effective algorithms of practice (ways of doing things) through the use of the scientific method and modern global information science by collating all the evidence and developing standard protocols which are then disseminated to healthcare providers.	Evidence-based medicine is a recent movement to establish the most effective algorithms of practice (ways of doing things) through the use of the scientific method and modern global information science by collating all the evidence and developing standard protocols which are then disseminated to healthcare providers.	62:76	993:1007	Medicine	DEF	most effective		the most effective algorithms OF=practice	algorithms OF=practice	algorithms	efficiency	positive	n		
05-053_Medicine_132	wikipedia	Medical specialties * interdisciplinary fields, where different medical specialties are mixed to function in certain occasions.   is the study of the physical structure of organisms.  In contrast to macroscopic or gross anatomy, cytology and histology are concerned with microscopic structures. *   is the study of the chemistry taking place in living organisms, especially the structure and function of their chemical components. *  Biostatistics is the application of statistics to biological fields in the broadest sense.	Biostatistics is the application of statistics to biological fields in the broadest sense.	75:83	509:517	Medicine	DEF	broadest		biostatics	sense	sense	broadness	positive	n		
